klic;kod;kniha_id;nakoupeni;prodani
1;KOD002;7;20240401;20240402
2;KOD003;5;20240401;20240402
3;KOD004;3;20240401;20240402
4;KOD005;7;20240401;20240402
5;KOD006;3;20240401;20240402
6;KOD007;1;20240401;20240402
7;KOD008;1;20240401;20240402
8;KOD009;3;20240401;20240402
9;KOD010;8;20240401;20240402
10;KOD011;3;20240401;20240403
11;KOD012;5;20240401;20240403
12;KOD013;8;20240401;20240403
13;KOD014;6;20240401;20240403
14;KOD015;6;20240401;20240403
15;KOD016;3;20240401;20240403
16;KOD017;4;20240401;20240403
17;KOD018;4;20240401;20240403
18;KOD019;3;20240401;20240403
19;KOD020;2;20240401;20240403
20;KOD021;5;20240402;20240404
21;KOD022;3;20240402;20240404
22;KOD023;7;20240402;20240404
23;KOD024;6;20240402;20240404
24;KOD025;2;20240402;20240404
25;KOD026;6;20240402;20240404
26;KOD027;8;20240402;20240404
27;KOD028;7;20240402;20240404
28;KOD029;7;20240402;20240404
29;KOD030;7;20240402;20240404
30;KOD031;8;20240403;20240405
31;KOD032;7;20240403;20240405
32;KOD033;3;20240403;20240405
33;KOD034;7;20240403;20240405
34;KOD035;8;20240403;20240405
35;KOD036;7;20240403;20240405
36;KOD037;7;20240403;20240405
37;KOD038;2;20240403;20240405
38;KOD039;5;20240403;20240405
39;KOD040;6;20240403;20240405
40;KOD041;4;20240404;20240406
41;KOD042;2;20240404;20240406
42;KOD043;6;20240404;20240406
43;KOD044;6;20240404;20240406
44;KOD045;4;20240404;20240406
45;KOD046;8;20240404;20240406
46;KOD047;2;20240404;20240406
47;KOD048;8;20240404;20240406
48;KOD049;1;20240404;20240406
49;KOD050;1;20240404;20240406
50;KOD051;2;20240405;20240407
51;KOD052;2;20240405;20240407
52;KOD053;8;20240405;20240407
53;KOD054;5;20240405;20240407
54;KOD055;8;20240405;20240407
55;KOD056;1;20240405;20240407
56;KOD057;3;20240405;20240407
57;KOD058;4;20240405;20240407
58;KOD059;6;20240405;20240407
59;KOD060;3;20240405;20240407
60;KOD061;2;20240406;20240408
61;KOD062;5;20240406;20240408
62;KOD063;7;20240406;20240408
63;KOD064;3;20240406;20240408
64;KOD065;6;20240406;20240408
65;KOD066;8;20240406;20240408
66;KOD067;3;20240406;20240408
67;KOD068;6;20240406;20240408
68;KOD069;8;20240406;20240408
69;KOD070;8;20240406;20240408
70;KOD071;8;20240407;20240409
71;KOD072;8;20240407;20240409
72;KOD073;2;20240407;20240409
73;KOD074;1;20240407;20240409
74;KOD075;3;20240407;20240409
75;KOD076;6;20240407;20240409
76;KOD077;8;20240407;20240409
77;KOD078;6;20240407;20240409
78;KOD079;3;20240407;20240409
79;KOD080;1;20240407;20240409
80;KOD081;7;20240408;20240410
81;KOD082;6;20240408;20240410
82;KOD083;3;20240408;20240410
83;KOD084;4;20240408;20240410
84;KOD085;3;20240408;20240410
85;KOD086;5;20240408;20240410
86;KOD087;8;20240408;20240410
87;KOD088;3;20240408;20240410
88;KOD089;6;20240408;20240410
89;KOD090;5;20240408;20240410
90;KOD091;8;20240409;20240411
91;KOD092;8;20240409;20240411
92;KOD093;6;20240409;20240411
93;KOD094;4;20240409;20240411
94;KOD095;3;20240409;20240411
95;KOD096;8;20240409;20240411
96;KOD097;1;20240409;20240411
97;KOD098;3;20240409;20240411
98;KOD099;5;20240409;20240411
99;KOD100;6;20240409;20240411
100;KOD101;3;20240410;None
101;KOD102;4;20240410;None
102;KOD103;2;20240410;None
103;KOD104;3;20240410;None
104;KOD105;8;20240410;None
105;KOD106;7;20240410;None
106;KOD107;2;20240410;None
107;KOD108;6;20240410;None
108;KOD109;6;20240410;None
109;KOD110;5;20240410;None
