klic;datum_naskladneni_klic;exemplar_id;zamestnanec_id;cena
1;20240401;1;1;280
1;20240401;2;2;900
1;20240401;3;2;720
1;20240401;4;2;280
1;20240401;5;1;720
1;20240401;6;1;850
1;20240401;7;1;850
1;20240401;8;1;720
1;20240401;9;1;460
1;20240401;10;1;720
1;20240401;11;1;900
1;20240401;12;2;460
1;20240401;13;2;1200
1;20240401;14;1;1200
1;20240401;15;2;720
1;20240401;16;2;745
1;20240401;17;1;745
1;20240401;18;1;720
1;20240401;19;1;350
1;20240402;20;2;900
1;20240402;21;1;720
1;20240402;22;2;280
1;20240402;23;2;1200
1;20240402;24;1;350
1;20240402;25;1;1200
1;20240402;26;1;460
1;20240402;27;1;280
1;20240402;28;2;280
1;20240402;29;2;280
1;20240403;30;1;460
1;20240403;31;1;280
1;20240403;32;1;720
1;20240403;33;1;280
1;20240403;34;1;460
1;20240403;35;2;280
1;20240403;36;1;280
1;20240403;37;2;350
1;20240403;38;2;900
1;20240403;39;2;1200
1;20240404;40;2;745
1;20240404;41;1;350
1;20240404;42;1;1200
1;20240404;43;1;1200
1;20240404;44;2;745
1;20240404;45;1;460
1;20240404;46;2;350
1;20240404;47;2;460
1;20240404;48;1;850
1;20240404;49;2;850
1;20240405;50;1;350
1;20240405;51;1;350
1;20240405;52;2;460
1;20240405;53;1;900
1;20240405;54;1;460
1;20240405;55;2;850
1;20240405;56;2;720
1;20240405;57;1;745
1;20240405;58;2;1200
1;20240405;59;1;720
1;20240406;60;1;350
1;20240406;61;1;900
1;20240406;62;1;280
1;20240406;63;1;720
1;20240406;64;1;1200
1;20240406;65;2;460
1;20240406;66;2;720
1;20240406;67;2;1200
1;20240406;68;2;460
1;20240406;69;1;460
1;20240407;70;1;460
1;20240407;71;2;460
1;20240407;72;2;350
1;20240407;73;1;850
1;20240407;74;1;720
1;20240407;75;2;1200
1;20240407;76;2;460
1;20240407;77;2;1200
1;20240407;78;1;720
1;20240407;79;2;850
1;20240408;80;2;280
1;20240408;81;1;1200
1;20240408;82;2;720
1;20240408;83;1;745
1;20240408;84;1;720
1;20240408;85;2;900
1;20240408;86;2;460
1;20240408;87;2;720
1;20240408;88;1;1200
1;20240408;89;1;900
1;20240409;90;1;460
1;20240409;91;1;460
1;20240409;92;1;1200
1;20240409;93;1;745
1;20240409;94;2;720
1;20240409;95;2;460
1;20240409;96;1;850
1;20240409;97;2;720
1;20240409;98;2;900
1;20240409;99;1;1200
1;20240410;100;2;720
1;20240410;101;1;745
1;20240410;102;2;350
1;20240410;103;1;720
1;20240410;104;2;460
1;20240410;105;1;280
1;20240410;106;2;350
1;20240410;107;2;1200
1;20240410;108;1;1200
1;20240410;109;2;900
