klic;datum_prodeje_klic;exemplar_id;zakaznik_id;zamestnanec_id;cena
1;20240402;1;3;2;2.0
2;20240402;2;6;1;2.0
3;20240402;3;5;1;2.0
4;20240402;4;1;2;2.0
5;20240402;5;2;1;2.0
6;20240402;6;4;1;2.0
7;20240402;7;2;1;2.0
8;20240402;8;8;2;2.0
9;20240402;9;6;1;2.0
10;20240403;10;7;2;2.0
11;20240403;11;7;1;2.0
12;20240403;12;5;1;2.0
13;20240403;13;4;1;2.0
14;20240403;14;2;2;2.0
15;20240403;15;7;2;2.0
16;20240403;16;4;1;2.0
17;20240403;17;6;2;2.0
18;20240403;18;7;2;2.0
19;20240403;19;8;2;2.0
20;20240404;20;6;2;2.0
21;20240404;21;8;1;2.0
22;20240404;22;1;2;2.0
23;20240404;23;8;2;2.0
24;20240404;24;1;1;2.0
25;20240404;25;1;2;2.0
26;20240404;26;8;2;2.0
27;20240404;27;5;1;2.0
28;20240404;28;6;2;2.0
29;20240404;29;6;1;2.0
30;20240405;30;4;2;2.0
31;20240405;31;2;2;2.0
32;20240405;32;1;1;2.0
33;20240405;33;8;2;2.0
34;20240405;34;6;1;2.0
35;20240405;35;6;2;2.0
36;20240405;36;7;1;2.0
37;20240405;37;8;1;2.0
38;20240405;38;1;2;2.0
39;20240405;39;4;1;2.0
40;20240406;40;4;2;2.0
41;20240406;41;4;1;2.0
42;20240406;42;2;1;2.0
43;20240406;43;7;1;2.0
44;20240406;44;2;2;2.0
45;20240406;45;5;2;2.0
46;20240406;46;4;2;2.0
47;20240406;47;4;1;2.0
48;20240406;48;1;1;2.0
49;20240406;49;3;1;2.0
50;20240407;50;6;1;2.0
51;20240407;51;1;1;2.0
52;20240407;52;5;2;2.0
53;20240407;53;7;2;2.0
54;20240407;54;4;2;2.0
55;20240407;55;2;2;2.0
56;20240407;56;3;1;2.0
57;20240407;57;6;1;2.0
58;20240407;58;6;2;2.0
59;20240407;59;7;2;2.0
60;20240408;60;2;2;2.0
61;20240408;61;6;2;2.0
62;20240408;62;5;2;2.0
63;20240408;63;3;1;2.0
64;20240408;64;3;1;2.0
65;20240408;65;4;2;2.0
66;20240408;66;2;2;2.0
67;20240408;67;3;1;2.0
68;20240408;68;5;2;2.0
69;20240408;69;1;1;2.0
70;20240409;70;3;2;2.0
71;20240409;71;8;2;2.0
72;20240409;72;1;1;2.0
73;20240409;73;4;1;2.0
74;20240409;74;8;2;2.0
75;20240409;75;4;1;2.0
76;20240409;76;4;1;2.0
77;20240409;77;6;2;2.0
78;20240409;78;1;1;2.0
79;20240409;79;7;1;2.0
80;20240410;80;7;1;2.0
81;20240410;81;1;1;2.0
82;20240410;82;1;2;2.0
83;20240410;83;8;2;2.0
84;20240410;84;3;1;2.0
85;20240410;85;6;2;2.0
86;20240410;86;2;2;2.0
87;20240410;87;4;2;2.0
88;20240410;88;7;1;2.0
89;20240410;89;2;1;2.0
90;20240411;90;4;1;2.0
91;20240411;91;4;1;2.0
92;20240411;92;3;1;2.0
93;20240411;93;6;2;2.0
94;20240411;94;2;1;2.0
95;20240411;95;4;2;2.0
96;20240411;96;7;1;2.0
97;20240411;97;2;2;2.0
98;20240411;98;8;1;2.0
99;20240411;99;7;2;2.0
